"","behavior","ID","turtle.name","date","treatment","group","nest.number","avgcount","trans"
"1","breath (count)","L169","Michael",2019-01-15,"clean plastic","A",1,3,0.477121254719662
"2","breath (count)","L169","Michael",2019-01-17,"food","A",1,10,1
"3","breath (count)","L169","Michael",2019-01-25,"conditioned plastic","A",1,3.5,0.544068044350276
"4","breath (count)","L169","Michael",2019-01-31,"dh2o","A",1,5,0.698970004336019
"5","breath (count)","L170","Dwight",2019-01-15,"dh2o","A",1,4.5,0.653212513775344
"6","breath (count)","L170","Dwight",2019-01-23,"food","A",1,8,0.903089986991944
"7","breath (count)","L170","Dwight",2019-01-25,"clean plastic","A",1,5,0.698970004336019
"8","breath (count)","L170","Dwight",2019-01-31,"conditioned plastic","A",1,4.5,0.653212513775344
"9","breath (count)","L171","Pam",2019-01-15,"clean plastic","A",2,1.5,0.176091259055681
"10","breath (count)","L171","Pam",2019-01-23,"dh2o","A",2,2.5,0.397940008672038
"11","breath (count)","L171","Pam",2019-01-25,"food","A",2,2,0.301029995663981
"12","breath (count)","L171","Pam",2019-01-31,"conditioned plastic","A",2,11.5,1.06069784035361
"13","breath (count)","L172","Jim",2019-01-17,"dh2o","A",2,1.5,0.176091259055681
"14","breath (count)","L172","Jim",2019-01-25,"conditioned plastic","A",2,2.5,0.397940008672038
"15","breath (count)","L172","Jim",2019-02-02,"food","A",2,1.5,0.176091259055681
"16","breath (count)","L173","Kelly",2019-01-15,"food","A",3,3,0.477121254719662
"17","breath (count)","L173","Kelly",2019-01-25,"dh2o","A",3,3,0.477121254719662
"18","breath (count)","L173","Kelly",2019-01-27,"clean plastic","A",3,1.5,0.176091259055681
"19","breath (count)","L173","Kelly",2019-02-02,"conditioned plastic","A",3,4.5,0.653212513775344
"20","breath (count)","L174","Ryan",2019-01-23,"clean plastic","A",3,6,0.778151250383644
"21","breath (count)","L174","Ryan",2019-01-27,"dh2o","A",3,2.5,0.397940008672038
"22","breath (count)","L174","Ryan",2019-01-31,"conditioned plastic","A",3,9,0.954242509439325
"23","breath (count)","L174","Ryan",2019-02-02,"food","A",3,7.5,0.8750612633917
"24","breath (count)","L176","Stanley",2019-01-17,"dh2o","A",4,1,0
"25","breath (count)","L176","Stanley",2019-01-23,"clean plastic","A",4,1.5,0.176091259055681
"26","breath (count)","L176","Stanley",2019-01-31,"conditioned plastic","A",4,1,0
"27","breath (count)","L177","Oscar",2019-01-16,"dh2o","B",5,2.5,0.397940008672038
"28","breath (count)","L177","Oscar",2019-01-22,"clean plastic","B",5,1,0
