"","behavior","ID","turtle.name","date","treatment","group","nest.number","avgcount"
"1","breath (count)","L169","Michael",2019-01-15,"clean plastic","A",1,2
"2","breath (count)","L169","Michael",2019-01-17,"food","A",1,11
"3","breath (count)","L169","Michael",2019-01-25,"conditioned plastic","A",1,10
"4","breath (count)","L169","Michael",2019-01-31,"dh2o","A",1,5.5
"5","breath (count)","L170","Dwight",2019-01-15,"dh2o","A",1,10.5
"6","breath (count)","L170","Dwight",2019-01-23,"food","A",1,8.5
"7","breath (count)","L170","Dwight",2019-01-25,"clean plastic","A",1,4
"8","breath (count)","L170","Dwight",2019-01-31,"conditioned plastic","A",1,1.5
"9","breath (count)","L171","Pam",2019-01-15,"clean plastic","A",2,4
"10","breath (count)","L171","Pam",2019-01-23,"dh2o","A",2,2.5
"11","breath (count)","L171","Pam",2019-01-25,"food","A",2,2
"12","breath (count)","L171","Pam",2019-01-31,"conditioned plastic","A",2,9.5
"13","breath (count)","L172","Jim",2019-01-17,"dh2o","A",2,1
"14","breath (count)","L172","Jim",2019-01-23,"clean plastic","A",2,1
"15","breath (count)","L172","Jim",2019-01-25,"conditioned plastic","A",2,1
"16","breath (count)","L172","Jim",2019-02-02,"food","A",2,1
"17","breath (count)","L173","Kelly",2019-01-15,"food","A",3,9.5
"18","breath (count)","L173","Kelly",2019-01-25,"dh2o","A",3,4
"19","breath (count)","L173","Kelly",2019-01-27,"clean plastic","A",3,2
"20","breath (count)","L173","Kelly",2019-02-02,"conditioned plastic","A",3,3
"21","breath (count)","L174","Ryan",2019-01-23,"clean plastic","A",3,4
"22","breath (count)","L174","Ryan",2019-01-27,"dh2o","A",3,2.5
"23","breath (count)","L174","Ryan",2019-01-31,"conditioned plastic","A",3,11
"24","breath (count)","L174","Ryan",2019-02-02,"food","A",3,8
"25","breath (count)","L176","Stanley",2019-01-17,"dh2o","A",4,1
"26","breath (count)","L176","Stanley",2019-01-23,"clean plastic","A",4,1
"27","breath (count)","L176","Stanley",2019-01-31,"conditioned plastic","A",4,1
"28","breath (count)","L177","Oscar",2019-01-16,"dh2o","B",5,4
"29","breath (count)","L177","Oscar",2019-01-22,"clean plastic","B",5,1
"30","breath (count)","L177","Oscar",2019-01-28,"conditioned plastic","B",5,3
"31","breath (count)","L177","Oscar",2019-01-30,"food","B",5,6
"32","breath (count)","L178","Angela",2019-01-14,"dh2o","B",5,1
"33","breath (count)","L178","Angela",2019-01-24,"food","B",5,4.5
"34","breath (count)","L178","Angela",2019-01-28,"clean plastic","B",5,2
"35","breath (count)","L178","Angela",2019-02-01,"conditioned plastic","B",5,5
"36","breath (count)","L179","Kevin",2019-01-14,"dh2o","B",6,2.5
"37","breath (count)","L179","Kevin",2019-01-16,"food","B",6,9
"38","breath (count)","L179","Kevin",2019-01-22,"clean plastic","B",6,2.5
"39","breath (count)","L179","Kevin",2019-01-30,"conditioned plastic","B",6,3
"40","breath (count)","L180","Meredith",2019-01-16,"dh2o","B",6,3
"41","breath (count)","L180","Meredith",2019-01-18,"food","B",6,5
"42","breath (count)","L180","Meredith",2019-01-24,"conditioned plastic","B",6,13
"43","breath (count)","L180","Meredith",2019-02-01,"clean plastic","B",6,2
"44","breath (count)","L181","Daryll",2019-01-16,"conditioned plastic","B",7,6.5
"45","breath (count)","L181","Daryll",2019-01-24,"clean plastic","B",7,1.5
"46","breath (count)","L181","Daryll",2019-01-30,"food","B",7,4
"47","breath (count)","L181","Daryll",2019-02-01,"dh2o","B",7,8
"48","breath (count)","L182","Jan",2019-01-14,"food","B",7,6.5
"49","breath (count)","L182","Jan",2019-01-22,"dh2o","B",7,5
"50","breath (count)","L182","Jan",2019-01-24,"conditioned plastic","B",7,10
"51","breath (count)","L182","Jan",2019-01-30,"clean plastic","B",7,7
"52","breath (count)","L183","Creed",2019-01-18,"dh2o","B",8,4.5
"53","breath (count)","L183","Creed",2019-01-22,"food","B",8,18.5
"54","breath (count)","L183","Creed",2019-01-30,"clean plastic","B",8,2
"55","breath (count)","L183","Creed",2019-02-01,"conditioned plastic","B",8,14
"56","dive (count)","L169","Michael",2019-01-25,"conditioned plastic","A",1,1.5
"57","dive (count)","L170","Dwight",2019-01-15,"dh2o","A",1,1.5
"58","dive (count)","L170","Dwight",2019-01-23,"food","A",1,4
"59","dive (count)","L170","Dwight",2019-01-25,"clean plastic","A",1,1
"60","dive (count)","L170","Dwight",2019-01-31,"conditioned plastic","A",1,1
