"","behavior","ID","turtle.name","date","treatment","group","nest.number","avgtime","trans"
"1","nares out of h2o","L169","Michael",2019-01-15,"clean plastic","A",1,5.504,0.740678425227455
"2","nares out of h2o","L169","Michael",2019-01-17,"food","A",1,45.581,1.65878384892066
"3","nares out of h2o","L169","Michael",2019-01-25,"conditioned plastic","A",1,4.14,0.617000341120899
"4","nares out of h2o","L169","Michael",2019-01-31,"dh2o","A",1,8.25800000000005,0.916874878538686
"5","nares out of h2o","L170","Dwight",2019-01-15,"dh2o","A",1,3.50399999999999,0.544564097496042
"6","nares out of h2o","L170","Dwight",2019-01-23,"food","A",1,11.482,1.0600175425316
"7","nares out of h2o","L170","Dwight",2019-01-25,"clean plastic","A",1,6.65549999999999,0.823180687772235
"8","nares out of h2o","L170","Dwight",2019-01-31,"conditioned plastic","A",1,15.868,1.20052219180211
"9","nares out of h2o","L171","Pam",2019-01-15,"clean plastic","A",2,2.49300000000001,0.396722278503775
"10","nares out of h2o","L171","Pam",2019-01-23,"dh2o","A",2,2.13550000000002,0.329499575762847
"11","nares out of h2o","L171","Pam",2019-01-25,"food","A",2,2.25,0.352182518111362
"12","nares out of h2o","L171","Pam",2019-01-31,"conditioned plastic","A",2,29.627,1.47168767748721
"13","nares out of h2o","L172","Jim",2019-01-17,"dh2o","A",2,1.25000000000003,0.0969100130080663
"14","nares out of h2o","L172","Jim",2019-01-25,"conditioned plastic","A",2,2.51999999999998,0.401400540781541
"15","nares out of h2o","L172","Jim",2019-02-02,"food","A",2,1.3805,0.140036410975281
"16","nares out of h2o","L173","Kelly",2019-01-15,"food","A",3,4.74300000000001,0.676053124651872
"17","nares out of h2o","L173","Kelly",2019-01-25,"dh2o","A",3,2.86800000000011,0.457579146995779
"18","nares out of h2o","L173","Kelly",2019-01-27,"clean plastic","A",3,1.13249999999996,0.054038210684856
"19","nares out of h2o","L173","Kelly",2019-02-02,"conditioned plastic","A",3,5.3785,0.730661172961165
"20","nares out of h2o","L174","Ryan",2019-01-23,"clean plastic","A",3,4.01900000000003,0.604118006192038
"21","nares out of h2o","L174","Ryan",2019-01-27,"dh2o","A",3,2.50000000000003,0.397940008672043
"22","nares out of h2o","L174","Ryan",2019-01-31,"conditioned plastic","A",3,27.9345,1.44614090232284
"23","nares out of h2o","L174","Ryan",2019-02-02,"food","A",3,7.74150000000003,0.888825118125635
"24","nares out of h2o","L176","Stanley",2019-01-17,"dh2o","A",4,1.49899999999997,0.17580163284827
"25","nares out of h2o","L176","Stanley",2019-01-23,"clean plastic","A",4,2.12799999999999,0.327971623623008
"26","nares out of h2o","L176","Stanley",2019-01-31,"conditioned plastic","A",4,0.751000000000033,-0.124360062995812
"27","nares out of h2o","L177","Oscar",2019-01-16,"dh2o","B",5,2.12199999999996,0.326745379565313
"28","nares out of h2o","L177","Oscar",2019-01-22,"clean plastic","B",5,2.001,0.301247088636212
"29","nares out of h2o","L177","Oscar",2019-01-28,"conditioned plastic","B",5,11.1885,1.04877186620761
"30","nares out of h2o","L177","Oscar",2019-01-30,"food","B",5,10.5030000000001,1.0213133654847
"31","nares out of h2o","L178","Angela",2019-01-14,"dh2o","B",5,1.00299999999999,0.00130093302041201
"32","nares out of h2o","L178","Angela",2019-01-24,"food","B",5,5.1035,0.707868119106958
"33","nares out of h2o","L178","Angela",2019-01-28,"clean plastic","B",5,1.81900000000002,0.259832699063488
"34","nares out of h2o","L178","Angela",2019-02-01,"conditioned plastic","B",5,7,0.845098040014257
"35","nares out of h2o","L179","Kevin",2019-01-14,"dh2o","B",6,3.49700000000003,0.543695632309248
"36","nares out of h2o","L179","Kevin",2019-01-16,"food","B",6,2.54950000000004,0.406455016303499
"37","nares out of h2o","L179","Kevin",2019-01-22,"clean plastic","B",6,2.88250000000002,0.45976931596674
"38","nares out of h2o","L179","Kevin",2019-01-28,"conditioned plastic","B",6,3.12499999999997,0.49485002168009
"39","nares out of h2o","L179","Kevin",2019-01-30,"conditioned plastic","B",6,2.99999999999994,0.477121254719654
"40","nares out of h2o","L180","Meredith",2019-01-16,"dh2o","B",6,1.256,0.0989896394011774
"41","nares out of h2o","L180","Meredith",2019-01-18,"food","B",6,44.2619999999999,1.64603103384202
"42","nares out of h2o","L180","Meredith",2019-01-24,"conditioned plastic","B",6,29.6035,1.4713430604112
"43","nares out of h2o","L180","Meredith",2019-02-01,"clean plastic","B",6,1.495,0.17464119266045
"44","nares out of h2o","L181","Daryll",2019-01-16,"conditioned plastic","B",7,2.24900000000002,0.351989455435637
"45","nares out of h2o","L181","Daryll",2019-01-24,"clean plastic","B",7,6.49549999999996,0.812612587107756
"46","nares out of h2o","L181","Daryll",2019-01-30,"food","B",7,5.75299999999993,0.759894374025494
"47","nares out of h2o","L181","Daryll",2019-02-01,"dh2o","B",7,1.505,0.177536499929861
"48","nares out of h2o","L182","Jan",2019-01-14,"food","B",7,9.38200000000003,0.972295428611141
"49","nares out of h2o","L182","Jan",2019-01-22,"dh2o","B",7,8.61299999999999,0.935154447216168
"50","nares out of h2o","L182","Jan",2019-01-24,"conditioned plastic","B",7,9.49400000000006,0.977449227382344
"51","nares out of h2o","L182","Jan",2019-01-30,"clean plastic","B",7,5.98900000000009,0.777354313084215
"52","nares out of h2o","L183","Creed",2019-01-18,"dh2o","B",8,4.77449999999996,0.678927897676681
"53","nares out of h2o","L183","Creed",2019-01-22,"food","B",8,27.5169999999999,1.43960108383435
"54","nares out of h2o","L183","Creed",2019-01-30,"clean plastic","B",8,3.50700000000001,0.544935765881503
"55","nares out of h2o","L183","Creed",2019-02-01,"conditioned plastic","B",8,52.0310000000001,1.71626217281721
